from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00002820,0.08706,1.80794,0.67385,-0.47206,0.09385,0.03926,3.45249,0.30831,-0.18751,0.04331,0.05227,3.39815,0.32028,-0.24185,0.05528,0.05227,3.39815,0.32028,-0.24185,0.05528
N00002821,0.08658,1.81064,0.67333,-0.46936,0.09333,0.03897,3.45408,0.308,-0.18592,0.043,0.05165,3.40131,0.31965,-0.23869,0.05465,0.05165,3.40131,0.31965,-0.23869,0.05465
N00002822,0.08611,1.81333,0.67281,-0.46667,0.09281,0.03868,3.45567,0.30769,-0.18433,0.04269,0.05104,3.40446,0.31902,-0.23554,0.05402,0.05104,3.40446,0.31902,-0.23554,0.05402
N00002823,0.08945,1.79438,0.67645,-0.48562,0.09645,0.04075,3.44444,0.30987,-0.19556,0.04487,0.05537,3.38218,0.32346,-0.25782,0.05846,0.05537,3.38218,0.32346,-0.25782,0.05846
N00002824,0.08849,1.79982,0.67541,-0.48018,0.09541,0.04015,3.44768,0.30924,-0.19232,0.04424,0.05412,3.3886,0.32218,-0.2514,0.05718,0.05412,3.3886,0.32218,-0.2514,0.05718
N00002825,0.08801,1.80253,0.67489,-0.47747,0.09489,0.03986,3.44929,0.30893,-0.19071,0.04393,0.0535,3.39179,0.32154,-0.24821,0.05654,0.0535,3.39179,0.32154,-0.24821,0.05654
N00002826,0.08515,1.81875,0.67177,-0.46125,0.09177,0.03808,3.45887,0.30706,-0.18113,0.04206,0.0498,3.41081,0.31776,-0.22919,0.05276,0.0498,3.41081,0.31776,-0.22919,0.05276
N00002827,0.08402,1.82515,0.67054,-0.45485,0.09054,0.03739,3.46263,0.30633,-0.17737,0.04133,0.04835,3.41826,0.31627,-0.22174,0.05127,0.04835,3.41826,0.31627,-0.22174,0.05127
N00002828,0.08402,1.82515,0.67054,-0.45485,0.09054,0.03739,3.46263,0.30633,-0.17737,0.04133,0.04835,3.41826,0.31627,-0.22174,0.05127,0.04835,3.41826,0.31627,-0.22174,0.05127
N00002829,0.08849,1.79982,0.67541,-0.48018,0.09541,0.04015,3.44768,0.30924,-0.19232,0.04424,0.05412,3.3886,0.32218,-0.2514,0.05718,0.05412,3.3886,0.32218,-0.2514,0.05718
N00002830,0.08658,1.81064,0.67333,-0.46936,0.09333,0.03897,3.45408,0.308,-0.18592,0.043,0.05165,3.40131,0.31965,-0.23869,0.05465,0.05165,3.40131,0.31965,-0.23869,0.05465
N00002831,0.08706,1.80794,0.67385,-0.47206,0.09385,0.03926,3.45249,0.30831,-0.18751,0.04331,0.05227,3.39815,0.32028,-0.24185,0.05528,0.05227,3.39815,0.32028,-0.24185,0.05528
